sepal_length,petal_length,class
5.1,1.5,Type1
4.8,1.4,Type1
5.6,4.5,Type2
6.2,4.8,Type3
5.5,4.4,Type2
5.5,3.7,Type2
4.6,1.5,Type1
5.0,3.5,Type2
4.8,1.6,Type1
6.7,5.8,Type3
5.7,4.2,Type2
6.0,4.8,Type3
7.1,5.9,Type3
6.5,4.6,Type2
6.4,4.5,Type2
7.6,6.6,Type3
6.3,4.4,Type2
6.3,4.9,Type3
5.2,1.5,Type1
4.6,1.4,Type1
5.7,4.1,Type2
5.3,1.5,Type1
6.1,4.7,Type2
5.0,3.3,Type2
5.8,5.1,Type3
6.3,4.9,Type2
5.7,1.5,Type1
5.5,1.3,Type1
7.7,6.1,Type3
5.7,1.7,Type1
6.4,5.3,Type3
6.9,5.7,Type3
5.5,1.4,Type1
5.1,1.4,Type1
5.1,1.5,Type1
6.7,5.7,Type3
7.2,5.8,Type3
6.0,4.5,Type2
6.5,5.2,Type3
4.8,1.9,Type1
6.4,5.6,Type3
4.4,1.3,Type1
5.4,4.5,Type2
7.7,6.7,Type3
5.6,3.9,Type2
4.9,3.3,Type2
4.9,1.5,Type1
6.6,4.4,Type2
4.8,1.4,Type1
6.9,5.1,Type3
